nombre_producto,fecha,semana,categoria,tienda,comuna,region,motivo,subtipo,area_responsable,unidades_merma,costo_unitario,valor_total_merma
PALETA GRANEL SUPER CERDO KG,2016-12-03,48,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Sala de Ventas,10,17735,174743
PALETA GRANEL SUPER CERDO KG,2016-12-04,48,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,16,29170,475208
PALETA GRANEL SUPER CERDO KG,2016-12-06,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,4,7018,25981
PALETA GRANEL SUPER CERDO KG,2016-12-08,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,11,20773,225553
PALETA GRANEL SUPER CERDO KG,2016-12-09,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,4995,13042
PALETA GRANEL SUPER CERDO KG,2016-12-10,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,4,7302,27770
PALETA GRANEL SUPER CERDO KG,2016-12-12,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,6406,21287
PALETA GRANEL SUPER CERDO KG,2016-12-13,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,7,14058,102511
PALETA GRANEL SUPER CERDO KG,2016-12-15,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,6,10838,60584
PALETA GRANEL SUPER CERDO KG,2016-12-17,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,3283,5538
PALETA GRANEL SUPER CERDO KG,2016-12-18,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,5197,13881
PALETA GRANEL SUPER CERDO KG,2016-12-23,51,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,1233,921
PALETA GRANEL SUPER CERDO KG,2016-12-26,52,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,4,6564,23834
PALETA GRANEL SUPER CERDO KG,2016-12-02,48,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,3,6313,20738
PALETA GRANEL SUPER CERDO KG,2016-12-04,48,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2541,3418
PALETA GRANEL SUPER CERDO KG,2016-12-05,49,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,6,11564,74160
PALETA GRANEL SUPER CERDO KG,2016-12-08,49,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,11,20390,226329
PALETA GRANEL SUPER CERDO KG,2016-12-12,50,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,1970,1990
PALETA GRANEL SUPER CERDO KG,2016-12-16,50,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,0,728,272
PALETA GRANEL SUPER CERDO KG,2016-12-19,51,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2857,4186
PALETA GRANEL SUPER CERDO KG,2016-12-22,51,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,1162,693
PALETA GRANEL SUPER CERDO KG,2016-12-26,52,CERDO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,3,4349,11464
PALETA GRANEL SUPER CERDO KG,2016-12-04,48,CERDO GRANEL,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,5,8803,40362
PALETA GRANEL SUPER CERDO KG,2016-12-06,49,CERDO GRANEL,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,4,7279,28606
PALETA GRANEL SUPER CERDO KG,2016-12-09,49,CERDO GRANEL,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,6,10566,60279
PALETA GRANEL SUPER CERDO KG,2016-12-12,50,CERDO GRANEL,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2291,2834
PALETA GRANEL SUPER CERDO KG,2016-12-16,50,CERDO GRANEL,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,1694,1481
PALETA GRANEL SUPER CERDO KG,2016-12-02,48,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,4319,9843
PALETA GRANEL SUPER CERDO KG,2016-12-04,48,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2206,2568
PALETA GRANEL SUPER CERDO KG,2016-12-06,49,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,3986,8761
PALETA GRANEL SUPER CERDO KG,2016-12-08,49,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2445,3223
PALETA GRANEL SUPER CERDO KG,2016-12-10,49,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,1015,548
PALETA GRANEL SUPER CERDO KG,2016-12-13,50,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,4130,8818
PALETA GRANEL SUPER CERDO KG,2016-12-16,50,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,5,10407,55563
PALETA GRANEL SUPER CERDO KG,2016-12-18,50,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2667,3648
PALETA GRANEL SUPER CERDO KG,2016-12-19,51,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2035,2125
PALETA GRANEL SUPER CERDO KG,2016-12-23,51,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,2816,4663
PALETA GRANEL SUPER CERDO KG,2016-12-24,51,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,5,7786,35652
PALETA GRANEL SUPER CERDO KG,2016-12-25,51,CERDO GRANEL,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,5,7786,35652
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-04,48,POLLO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,1981,3298
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-08,49,POLLO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,0,557,262
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-12,50,POLLO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,0,558,263
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-22,51,POLLO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,2282,4377
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-25,51,POLLO GRANEL,ANGOL,ANGOL,IX,Vencimiento,Caducidad,Bodega,346,411442,142256072
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-02,48,POLLO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,0,286,69
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,2016-12-06,49,POLLO GRANEL,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,0,590,293
AZUCAR GRANULADA MERKAT 1 KG,2016-12-02,48,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,452,452
AZUCAR GRANULADA MERKAT 1 KG,2016-12-03,48,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-04,48,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-06,49,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,1352,4056
AZUCAR GRANULADA MERKAT 1 KG,2016-12-08,49,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,5,2253,11265
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,901,1802
