producto,categoria,seccion,linea,abastecimiento,negocio
PALETA GRANEL SUPER CERDO KG,CERDO GRANEL,CARNES,CERDO,Directo,PERECIBLES
TRUTRO ENT POLLO SUPERPOLLO GRANEL 1 KG,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
AZUCAR GRANULADA MERKAT 1 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AZUCAR GRANULADA IANSA 5 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
POLLO ASADO UN  F,POLLOS ASADOS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
CHULETA VETADA SUPER CERDO KG,CERDO GRANEL,CARNES,CERDO,Directo,PERECIBLES
AZUCAR GRANULADA MERKAT 5 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ G2 LARGO DELGADO MERKAT 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AZUCAR GRANULADA IANSA 1 KG.,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PULPA PIERNA SIN HUESO SUPER CERDO KG,CERDO GRANEL,CARNES,CERDO,Directo,PERECIBLES
POSTA PALET VAC PORC KG.,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
JAMON COLONIAL SJ KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
POLLO FRESCO INSUMO UN,INSUMOS PLATOS ASADURIAS,PLATOS PREPARADOS,INSUMOS PLATOS ASADURIAS,Directo,PRODUCCION
FIAMBRE JAMON SANDWI SAN JORGE 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARROZ G1 LAM MIRAFLORES 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LOMO VETADO VAC PORCION KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
DET POLVO BIO FRESCURA  DES FLORIDO 3 KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
TE CEYLAN MILDRED 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON COLONIA WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ASIENTO VACUNO PORC KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
CHULETA CENTRO SUPER CERDO KG,CERDO GRANEL,CARNES,CERDO,Directo,PERECIBLES
JAMON ACARAMELADO WINTER 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
POSTA ROSAD VAC PORC KG.,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
HARINA S/POLVO MERKAT 50 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CREMA LARGA VIDA LA LECHERA 200 ML,CREMAS UHT Y CREMAS FRESCAS,LACTEOS,CREMAS,Directo,PERECIBLES
LOMO LISO VAC PORCION KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
FIAMBRE JAMON SANDWI WINTER 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
DET POLVO BIO FRESCURA 3 KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
QUESO.MANTECOSO SAN RAFAEL 1 KILO.,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
QUESO MANTECOSO LAS PARCELAS 1 KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
CALDO DE CEBOLLA AJO MAGGI 480GR,CALDOS Y BASES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT LIQUIDO CHAMYTO 80 ML., MANZANA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
HARINA C/POLVO MONT BLANC 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT LIQUIDO CHAMYTO 80 ML, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT LIQUIDO CHAMYTO 80 ML., MORA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SAL DE MESA LOBOS 1 KG,SAL,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
POSTA NEGRA VAC PORC KG.,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
COSTILLAR MITAD SUPER CERDO ENV,CERDO ENVASADO,CARNES,CERDO,Directo,PERECIBLES
"YOGHURT LIQUIDO CHAMYTO 80 ML., FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
POLLO ENTERO C/M.SUPERPOLLO 1 KILO.,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
AZUCAR GRANULADA DAMA BLANCA 1 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA PAVO AHUMADA ARIZTIA KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA PAVO COCIDA ARIZTIA KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHAMPIÑON  BDJA 200 GR,HONGOS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
SALCHICHA SURENA WINTER 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JAMON SANDWICH P.F. 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARROLLADO HUASO SAN JORGE 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA DE PAVO ASADA SOPRAVAL 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CARNE MOLIDA.TRUTRO PAVO SOPRAVAL 470 GR,PAVO ENVASADO,CARNES,PAVO,Directo,PERECIBLES
JUREL AL NATURAL SAN JOSE 425 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ACEITE VEGETAL MERKAT 900 CC,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LENTEJAS 6 MM BANQUETE 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ PREGRANEADO MIRAFLORES 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROLLADO LOMO SAN JORGE 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
AZUCAR GRANULADA DAMA BLANCA 5 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA ACARAMELADA SUPER POLLO 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
VIENESA TRADICIONAL SAN JORGE 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PH CONFORT DH 30MT X 24,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
MORTADELA JAMONADA SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SOBRCOSTILL VAC PORC KG,VACUNO ESPECIALIDAD,CARNES,VACUNO,Directo,PERECIBLES
LECHUGA ESCAROLA BOLSA NORTE.,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
BEBIDA ENERGETICA RED BULL 250 CC,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
GALLETA CROC ORIGINAL KRYZPO 40 GR,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON PIERNA ACARAMELADO PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LIMON GRANEL KG,CITRICO,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
PLATANOS KILO.,TROPICALES,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
JAMON PRAGA AHUM. SJ KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARROZ G1 GRAN SELECCION TUCAPEL 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA DE PAVO COCIDA SOPRAVAL 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LECHUGA ESCAROLA BDJA 2 UNIDADES.,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
APIO ENSALADA UND.,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
JUREL AL NATURAL DORASOL 425 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA DE POLLO ASADA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOGHURT LIQUIDO CHAMYTO 80, TUTTI FRUTTI",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESO LAMINA MANTECOSO S.RAFAEL KG.,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
PALTA HASS GRANEL,OTRAS FRUTAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
TORTA PIÑA LAF 15 PP,TORTAS,PASTELERIA,PASTELERIA FRESCA,Directo,PRODUCCION
PECHUGA PAVO ASADA ARIZTIA 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LONGANIZA PARRILLERA PF 1 KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOG. NESTLE BATIDO 120 GRS, DAMASC",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ARROLLADO DE LOMO PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
DETERGENTE POLVO FR DEL MAR RINSO 2.7 KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
ESPIRALES LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHICLE DOS EN UNO X 64 TUTTI.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
