antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Vencimiento'}),frozenset({'Caducidad'}),0.08067262664963815,0.08067262664963815,0.08067262664963815,1.0,12.395778364116095,1.0,0.07416455395908624,inf,1.0,1.0,1.0,1.0
frozenset({'Caducidad'}),frozenset({'Vencimiento'}),0.08067262664963815,0.08067262664963815,0.08067262664963815,1.0,12.395778364116095,1.0,0.07416455395908624,inf,1.0,1.0,1.0,1.0
"frozenset({'CECINAS GRANEL', 'ANGOL'})","frozenset({'Interno', 'Manipulacion'})",0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'ANGOL'})",frozenset({'Interno'}),0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'Manipulacion', 'ANGOL'})",frozenset({'Interno'}),0.06992337164750957,0.5405491698595147,0.06140911025968497,0.8782343987823441,1.6247077005235095,1.0,0.02361208976184534,3.773239942528739,0.41341181972166835,0.1118433805000969,0.734975772749341,0.49591971957231007
"frozenset({'CECINAS GRANEL', 'TEMUCO IV'})",frozenset({'Interno'}),0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'TEMUCO IV'})","frozenset({'Interno', 'Manipulacion'})",0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'Manipulacion', 'TEMUCO IV'})",frozenset({'Interno'}),0.05949340144742444,0.5405491698595147,0.05183056619838229,0.8711985688729874,1.6116916229829865,1.0,0.01967145743385816,3.567125195118488,0.40354199570175703,0.0945447485925063,0.7196622082767176,0.48354179280428267
"frozenset({'CECINAS GRANEL', 'Manipulacion'})",frozenset({'Interno'}),0.26351638995317156,0.5405491698595147,0.22945934440187313,0.8707592891760905,1.6108789685171383,1.0,0.08701577856831008,3.5550007982120047,0.5149074501056334,0.3993332098536766,0.7187061109795103,0.6476261498056077
"frozenset({'TEMUCO II', 'CECINAS GRANEL', 'Manipulacion'})",frozenset({'Interno'}),0.08418475947211579,0.5405491698595147,0.07194550872711793,0.8546144121365361,1.5810114228066336,1.0,0.02643950687964282,3.160222666444557,0.4012747164336134,0.1301501732768579,0.6835666009809805,0.4938557392440901
frozenset({'CECINAS GRANEL'}),frozenset({'Interno'}),0.27862920391656026,0.5405491698595147,0.22945934440187313,0.8235294117647057,1.5235050901636493,1.0,0.07884655952615902,2.6035547041294143,0.4763415251022212,0.38909944053419954,0.6159097412418751,0.6240112110999154
frozenset({'CECINAS GRANEL'}),"frozenset({'Interno', 'Manipulacion'})",0.27862920391656026,0.5405491698595147,0.22945934440187313,0.8235294117647057,1.5235050901636493,1.0,0.07884655952615902,2.6035547041294143,0.4763415251022212,0.38909944053419954,0.6159097412418751,0.6240112110999154
